Date,Open,High,Low,Close,Adj_Close,Volume,Day
2014-04-17,170.350006,171.240005,170.029999,170.740005,144.544922,925500,143
2014-04-21,170.850006,171.419998,170.660004,171.369995,145.078232,804400,144
2014-04-22,171.570007,172.619995,171.490005,172.119995,145.713135,1053300,145
2014-04-23,172.089996,172.160004,171.649994,171.710007,145.366058,724500,146
2014-04-24,172.630005,172.630005,171.300003,172.089996,145.687759,543900,147
2014-04-25,171.550003,171.630005,170.320007,170.710007,144.519547,1357900,148
2014-04-28,171.389999,171.960007,169.490005,171.229996,144.959763,647800,149
2014-04-29,171.789993,172.289993,171.429993,172.050003,145.6539,1065900,150
2014-04-30,171.75,172.710007,171.5,172.589996,146.111038,605300,151
2014-05-01,172.5,173.029999,172.029999,172.600006,146.119568,623900,152
2014-05-02,172.559998,173.259995,172.059998,172.320007,145.882523,754800,153
2014-05-05,171.490005,172.720001,171.020004,172.679993,146.187256,792600,154
2014-05-06,172.270004,172.380005,171.110001,171.179993,144.917374,567700,155
2014-05-07,171.729996,172.220001,170.440002,172.190002,145.772461,1160600,156
2014-05-08,171.960007,173.199997,171.429993,171.979996,145.59462,1390700,157
2014-05-09,171.979996,172.289993,171.199997,172.279999,145.848633,955400,158
2014-05-12,172.960007,173.979996,172.960007,173.910004,147.228546,780100,159
2014-05-13,174.089996,174.490005,173.889999,174.070007,147.363998,994800,160
2014-05-14,173.910004,173.970001,173,173.229996,146.652847,1335700,161
2014-05-15,172.899994,172.929993,170.869995,171.669998,145.332275,3191100,162
2014-05-16,171.800003,172.360001,171.100006,172.339996,145.899414,699600,163
2014-05-19,171.979996,173.100006,171.809998,172.929993,146.398926,926900,164
2014-05-20,172.860001,172.880005,171.410004,171.789993,145.433792,669400,165
2014-05-21,172.360001,173.369995,172.309998,173.279999,146.695175,991300,166
2014-05-22,173.350006,174.059998,173.059998,173.75,147.093094,859000,167
2014-05-23,173.910004,174.539993,173.820007,174.470001,147.702621,613900,168
2014-05-27,175.089996,175.550003,175,175.5,148.574646,890000,169
2014-05-28,175.520004,175.789993,175.089996,175.320007,148.422272,990900,170
2014-05-29,175.820007,176.320007,175.369995,176.320007,149.26886,541000,171
2014-05-30,176.160004,176.690002,175.979996,176.550003,149.463531,874700,172
2014-06-02,176.830002,176.850006,175.940002,176.789993,149.666702,1620200,173
2014-06-03,176.350006,176.789993,176.220001,176.679993,149.573547,1252900,174
2014-06-04,176.369995,177.149994,176.199997,177,149.844498,984900,175
2014-06-05,177.240005,178.380005,176.630005,178.199997,150.860367,853600,176
2014-06-06,178.619995,179.089996,178.520004,179.050003,151.579956,586800,177
2014-06-09,179.039993,179.690002,178.869995,179.229996,151.732285,461800,178
2014-06-10,179.029999,179.300003,178.660004,179.270004,151.76622,959900,179
2014-06-11,178.639999,178.820007,178.25,178.690002,151.275223,558100,180
2014-06-12,178.419998,178.520004,176.979996,177.360001,150.149246,891400,181
2014-06-13,177.729996,178.070007,177.169998,177.919998,150.623337,731200,182
2014-06-16,177.690002,178.410004,177.5,178.070007,150.750305,756700,183
2014-06-17,177.830002,178.679993,177.630005,178.539993,151.148178,2934400,184
2014-06-18,178.589996,179.970001,178.169998,179.869995,152.27417,501900,185
2014-06-19,180.039993,180.210007,179.509995,180.089996,152.460434,746900,186
2014-06-20,180.509995,180.570007,180.25,180.449997,152.765182,830300,187
2014-06-23,179.699997,179.729996,179.270004,179.559998,152.696289,737700,188
2014-06-24,179.289993,180.139999,178.309998,178.5,151.79483,391700,189
2014-06-25,178.139999,179.490005,178.130005,179.259995,152.441193,586000,190
2014-06-26,179.360001,179.380005,177.979996,179.169998,152.364655,676800,191
2014-06-27,178.789993,179.559998,178.690002,179.479996,152.628235,1032300,192
2014-06-30,179.429993,179.820007,179.279999,179.429993,152.585754,1261200,193
2014-07-01,179.880005,181.190002,179.830002,180.690002,153.657227,1199000,194
2014-07-02,180.669998,181.029999,180.570007,180.820007,153.767792,511500,195
2014-07-03,181.309998,181.779999,181.199997,181.729996,154.541611,327900,196
2014-07-07,181.380005,181.5,180.839996,181.139999,154.039902,1151800,197
2014-07-08,180.770004,180.820007,179.5,179.970001,153.044968,749400,198
2014-07-09,180.360001,180.880005,180,180.720001,153.682724,930300,199
2014-07-10,179.009995,180.470001,178.839996,180.029999,153.095963,614600,200
2014-07-11,179.940002,180.360001,179.509995,180.270004,153.300049,520400,201
2014-07-14,181.199997,181.410004,181.020004,181.160004,154.056931,493100,202
2014-07-15,181.25,181.630005,180.059998,180.850006,153.793304,1207000,203
2014-07-16,181.649994,181.759995,181.009995,181.539993,154.380081,539400,204
2014-07-17,180.960007,181.619995,179.190002,179.410004,152.568726,1103900,205
2014-07-18,180.020004,181.440002,179.940002,181.300003,154.175995,571500,206
2014-07-21,180.710007,181.080002,180.130005,180.910004,153.844345,866000,207
2014-07-22,181.580002,182.039993,181.419998,181.720001,154.533142,1509500,208
2014-07-23,182,182.320007,181.639999,182.149994,154.898788,750900,209
2014-07-24,182.360001,182.5,181.970001,182.149994,154.898788,535800,210
2014-07-25,181.649994,181.770004,180.940002,181.279999,154.158966,635700,211
2014-07-28,181.350006,181.600006,180.279999,181.360001,154.22699,485700,212
2014-07-29,181.699997,181.889999,180.570007,180.589996,153.572266,639000,213
2014-07-30,181.220001,181.440002,179.860001,180.589996,153.572266,1128500,214
2014-07-31,179.350006,179.5,176.960007,176.960007,150.485321,2430500,215
2014-08-01,176.520004,177.619995,175.649994,176.529999,150.119598,3398000,216
2014-08-04,176.809998,178.110001,176.070007,177.770004,151.174133,2212000,217
2014-08-05,177.039993,177.479996,175.399994,175.970001,149.643417,1251300,218
2014-08-06,175.199997,176.820007,175.179993,176.080002,149.736938,1185800,219
2014-08-07,176.899994,177.039993,174.699997,175.130005,148.929047,1527100,220
2014-08-08,175.490005,177.270004,175.100006,177.160004,150.65535,1209900,221
2014-08-11,177.869995,178.470001,177.610001,177.660004,151.080582,1191200,222
2014-08-12,177.470001,177.990005,176.899994,177.449997,150.901993,513900,223
2014-08-13,178.149994,178.830002,177.869995,178.699997,151.964981,781600,224
2014-08-14,178.919998,179.479996,178.770004,179.479996,152.628235,842000,225
2014-08-15,180.149994,180.300003,178.179993,179.429993,152.585754,1694300,226
2014-08-18,180.460007,181.029999,180.339996,180.919998,153.852859,1039100,227
2014-08-19,181.399994,182.029999,181.229996,181.880005,154.669205,583000,228
2014-08-20,181.660004,182.610001,181.649994,182.380005,155.094406,1507800,229
2014-08-21,182.580002,183.169998,182.419998,182.899994,155.536591,756600,230
2014-08-22,182.800003,183.089996,182.240005,182.610001,155.290009,656500,231
2014-08-25,183.539993,183.860001,183.270004,183.559998,156.09787,1097200,232
2014-08-26,183.720001,184.169998,183.649994,183.710007,156.225372,749500,233
2014-08-27,183.809998,183.899994,183.339996,183.679993,156.199921,602600,234
2014-08-28,183.020004,183.619995,182.850006,183.539993,156.080811,447700,235
2014-08-29,183.830002,184.059998,183.229996,183.990005,156.463562,617200,236
2014-09-02,184.300003,184.300003,183.270004,183.940002,156.421005,553800,237
2014-09-03,184.649994,184.679993,183.589996,183.860001,156.352982,627600,238
2014-09-04,184.119995,184.820007,183.100006,183.559998,156.09787,536700,239
2014-09-05,183.529999,184.470001,182.880005,184.440002,156.846252,502300,240
2014-09-08,184.240005,184.460007,183.399994,183.970001,156.446548,635900,241
2014-09-09,183.789993,183.880005,182.410004,182.779999,155.43457,515300,242
2014-09-10,182.889999,183.550003,182.270004,183.5,156.046814,849800,243
2014-09-11,182.75,183.699997,182.610001,183.669998,156.191406,525700,244
2014-09-12,183.490005,183.509995,182.080002,182.580002,155.264496,724000,245
2014-09-15,182.639999,182.740005,181.889999,182.460007,155.162415,1021700,246
2014-09-16,182.110001,184.119995,182,183.820007,156.31897,565100,247
2014-09-17,184.110001,184.919998,183.199997,184.080002,156.540054,975000,248
2014-09-18,184.649994,185.059998,184.429993,185.039993,157.356415,740000,249
2014-09-19,185.639999,185.839996,184.580002,184.860001,157.203369,964000,250
2014-09-22,183.699997,183.740005,182.229996,182.559998,155.986725,836700,251
2014-09-23,181.949997,182.699997,181.509995,181.529999,155.106613,752200,252
2014-09-24,181.619995,183.070007,181.119995,182.990005,156.35408,968500,253
2014-09-25,182.5,182.520004,179.990005,180.050003,153.84201,1603000,254
2014-09-26,180.360001,181.880005,180.130005,181.5,155.080963,916900,255
2014-09-29,179.929993,181.449997,179.770004,181.139999,154.773346,1482800,256
2014-09-30,181.300003,181.809998,180.289993,180.589996,154.303482,767700,257
2014-10-01,180.339996,180.419998,177.809998,178.220001,152.278381,2380200,258
2014-10-02,178.050003,178.830002,176.399994,178.210007,152.269897,1263800,259
2014-10-03,179.479996,180.550003,178.880005,180.199997,153.970184,1217400,260
2014-10-06,180.940002,181.179993,179.360001,179.979996,153.782227,1307000,261
2014-10-07,179.050003,179.449997,177.199997,177.220001,151.42395,930600,262
2014-10-08,177.330002,180.539993,176.380005,180.320007,154.072723,1897500,263
2014-10-09,180,180.220001,176.600006,176.679993,150.962555,1428600,264
2014-10-10,176.649994,177.550003,174.660004,174.699997,149.270752,2469900,265
2014-10-13,174.630005,175.25,171.729996,171.830002,146.818512,2109200,266
2014-10-14,172.729996,174.020004,171.5,172.110001,147.057785,2431300,267
2014-10-15,169.800003,171.300003,166.850006,170.830002,145.964081,5460300,268
2014-10-16,167.820007,171.949997,167.679993,170.720001,145.870056,4452600,269
2014-10-17,172.729996,173.979996,172.039993,172.830002,147.672958,2259400,270
2014-10-20,172.529999,174.600006,172.449997,174.529999,149.125504,1379400,271
2014-10-21,175.779999,178.039993,175.589996,177.919998,152.022003,2884200,272
2014-10-22,178.289993,178.720001,176.610001,176.710007,150.988159,2374200,273
2014-10-23,178.449997,179.850006,178.169998,178.740005,152.722687,1812400,274
2014-10-24,179.029999,180.169998,178.360001,180.080002,153.867691,1152600,275
2014-10-27,179.509995,180.130005,178.869995,179.850006,153.671097,1476000,276
2014-10-28,180.490005,181.940002,180.399994,181.919998,155.439774,1330000,277
2014-10-29,182.029999,182.580002,180.470001,181.710007,155.260422,1600700,278
2014-10-30,181.169998,183.330002,181.050003,182.860001,156.242966,1588900,279
2014-10-31,185.020004,185.050003,184.100006,184.929993,158.011673,1946100,280
2014-11-03,185.199997,185.619995,184.600006,185.039993,158.105637,2270000,281
2014-11-04,184.559998,184.850006,183.449997,184.380005,157.541702,1639400,282
